#Frame      Mode1    Mode2    Mode3
     466   19.404    2.267  -27.568
     467   16.378   -0.771  -28.230
     468   16.852    4.713  -24.720
     469   20.697   -0.779  -17.910
     470   20.732    0.447  -17.441
     471   18.717    0.283  -17.467
     472   23.369   -1.496  -12.282
     473   24.937    5.454  -14.853
     474   20.028    0.057  -10.229
     475   24.072    7.091   -8.554
     476   21.524    6.881   -9.635
     477   16.277    5.735  -16.880
     478   19.556    6.968  -15.532
     479   21.678    6.073  -17.372
     480   24.803    8.143  -14.770
     481   23.570    3.305   -5.863
     482   23.198    6.697   -5.513
     483   25.848    9.635  -10.396
     484   27.300    9.483  -16.453
     485   27.359   12.459  -14.619
     486   24.386   10.391  -13.577
     487   24.237   11.117  -10.395
     488   27.254    7.597  -12.813
     489   27.753   14.603  -18.732
     490   24.282   11.290  -17.360
     491   29.951    7.895  -15.631
     492   30.790   13.374  -12.581
     493   29.543    6.616   -9.248
     494   25.614    2.696   -9.674
     495   29.049    8.859   -9.430
     496   22.752    9.710  -11.191
     497   20.314    5.506   -4.812
     498   20.559   -1.047  -14.895
     499   26.211    3.149  -14.203
     500   27.221    4.400  -20.530
     501   23.360    3.800  -19.537
     502   21.632    7.041  -22.167
     503   29.732    9.861  -19.873
     504   27.324    7.425  -16.207
     505   27.032    3.840  -16.665
     506   21.259    3.750  -16.460
     507   22.180    2.179  -16.777
     508   22.810    2.015  -19.378
     509   24.563    3.863  -21.277
     510   20.756    4.757  -26.352
     511   19.330   -0.478  -17.990
     512   13.700   -5.263  -15.743
     513   13.756   -3.803  -16.168
     514   17.533    2.496  -21.498
     515   18.530    0.876  -26.055
     516   16.830    3.158  -19.842
     517   19.710   -0.480  -11.352
     518   16.270   -7.025  -17.824
     519   16.825   -1.207  -25.581
     520   19.735   -2.495  -28.549
     521   20.149    0.719  -31.456
     522   16.935   -3.099  -25.324
     523   19.812   -0.479  -24.535
     524   25.265    0.595  -23.412
     525   24.761    3.685  -25.023
     526   21.573   -0.667  -24.322
     527   24.103   -3.652  -26.889
     528   21.925   -1.239  -23.284
     529   23.450    0.254  -22.778
     530   22.332   -6.624  -23.621
     531   19.381  -11.771  -13.655
     532   16.961  -12.549  -17.952
     533   13.655  -14.443  -16.964
     534   17.603  -10.818  -15.483
     535   14.748   -3.654  -19.006
     536   18.595   -3.039  -21.982
     537   19.102   -3.668  -22.888
     538   22.787   -0.238  -21.163
     539   16.306   -6.422  -17.188
     540   19.902   -9.159  -16.607
     541   24.116    0.415  -18.751
     542   25.409    1.835  -23.937
     543   22.927   -2.268  -22.389
     544   23.931   -3.385  -22.581
     545   22.648   -5.864  -21.237
     546   27.238   -4.208  -22.111
     547   26.189   -6.753  -17.992
     548   25.752   -4.620  -19.521
     549   23.316  -10.337  -15.345
