#Frame      Mode1    Mode2    Mode3
     675  158.007   -1.285   37.207
     676  153.994   -4.141   47.388
     677  152.180   -3.685   43.965
     678  148.142   -5.790   46.710
     679  146.841  -11.134   48.786
     680  140.338   -6.533   45.691
     681  139.726   -3.869   46.278
     682  140.789   -5.797   44.588
     683  149.014   -9.039   52.876
     684  150.902   -2.891   49.330
     685  154.619   -9.290   46.583
     686  157.051   -5.522   58.645
     687  148.507   -3.517   52.725
     688  152.934   -0.246   53.672
     689  145.936   -4.791   44.865
     690  143.227   -3.379   46.605
     691  142.412   -3.110   47.551
     692  142.722   -7.458   50.164
     693  140.330   -7.053   50.063
     694  144.037   -3.968   48.550
     695  135.496   -8.626   40.983
     696  133.734   -4.086   36.864
     697  130.690   -9.630   33.713
     698  128.607  -10.946   35.081
     699  131.732  -12.106   38.546
     700  134.250  -11.196   36.575
     701  127.391  -16.623   34.764
     702  128.175  -10.780   28.548
     703  131.852  -14.540   36.340
     704  130.934  -12.123   35.924
     705  133.084  -11.839   33.246
     706  125.085   -5.778   35.647
     707  125.430   -5.773   38.115
     708  121.162   -5.439   38.545
     709  124.458  -10.628   36.114
     710  121.353   -5.543   36.960
     711  127.405   -6.905   36.541
     712  124.053  -11.114   39.024
     713  131.629  -15.878   43.530
     714  127.100   -5.654   41.652
     715  125.856   -5.340   35.643
     716  124.379   -3.032   37.442
     717  120.160   -1.846   40.461
     718  119.443   -5.499   34.848
     719  119.984  -10.122   32.496
     720  116.365   -4.080   33.105
     721  120.627   -6.537   36.212
     722  113.656   -7.513   31.799
     723  115.760   -2.935   36.400
     724  115.549   -0.388   30.809
     725  112.856   -5.379   24.503
     726  116.588  -13.206   28.966
     727  117.353   -6.379   28.523
     728  120.760   -9.653   29.276
     729  120.638   -5.862   31.636
     730  124.228   -9.555   29.536
     731  120.147   -6.119   26.960
     732  123.927   -8.929   25.479
     733  121.162  -14.074   25.042
     734  126.551  -11.511   27.151
     735  120.851   -6.605   29.211
     736  124.445   -7.805   26.364
     737  127.708   -4.513   31.123
     738  127.487   -2.752   28.863
     739  123.884   -4.290   31.582
     740  128.486   -4.379   32.501
     741  127.531  -12.070   31.330
     742  129.131   -9.350   37.038
     743  125.763   -9.030   40.949
     744  122.693   -8.989   38.650
     745  127.511  -10.450   45.460
     746  135.372   -6.462   44.773
     747  131.952    4.669   43.469
     748  130.679    1.788   40.580
     749  138.805   -7.396   43.446
     750  145.269   -3.684   43.681
     751  146.761   -5.103   45.763
     752  147.248  -11.239   38.479
     753  140.285  -10.060   33.916
     754  139.094    1.031   33.315
     755  137.006   -1.428   30.263
     756  136.825   -7.432   29.051
     757  133.691   -8.766   28.077
     758  138.926  -15.345   31.918
     759  142.832  -14.244   31.336
     760  140.353  -20.102   26.113
     761  136.955  -15.935   29.495
     762  134.785  -10.078   24.256
     763  137.913  -15.187   23.783
     764  140.826  -14.989   23.333
     765  135.504  -14.347   26.727
     766  135.625  -13.150   27.170
     767  136.424  -14.381   30.962
     768  140.735  -12.277   36.139
     769  142.917  -13.251   38.314
     770  138.208  -16.553   34.051
     771  141.802  -14.280   39.766
     772  140.897  -13.966   40.067
     773  135.005  -13.544   39.795
     774  136.253  -16.508   36.833
     775  132.329  -19.774   29.716
     776  130.455  -18.349   32.521
     777  130.452  -15.186   37.127
     778  135.120  -19.122   36.076
     779  136.017  -18.291   35.258
     780  133.188  -11.826   35.784
     781  130.088  -14.164   24.770
     782  126.357  -14.582   28.796
     783  131.447  -17.889   32.839
     784  132.960  -18.588   33.463
     785  131.319  -20.255   29.902
     786  134.021  -17.767   27.843
     787  137.938  -21.726   31.887
     788  139.748  -16.462   38.378
     789  135.107  -17.439   40.023
     790  133.621  -19.205   37.915
     791  136.823  -16.504   32.532
     792  132.087  -19.819   30.777
     793  126.873  -19.659   25.703
     794  131.866  -19.823   32.267
     795  131.209  -17.773   33.954
     796  129.743  -20.085   34.272
     797  133.621  -18.613   31.467
     798  139.437  -13.092   36.509
     799  146.787  -15.926   41.242
     800  142.355  -16.662   39.815
     801  137.140  -19.836   37.013
     802  139.725  -18.464   43.534
     803  139.572  -17.856   37.390
     804  143.593  -15.444   37.207
     805  141.071  -18.367   32.304
     806  145.329  -13.814   33.253
     807  140.249  -11.633   33.559
     808  136.804  -17.300   34.220
     809  136.558  -17.570   35.233
     810  132.691  -23.156   31.453
     811  136.797  -22.789   33.454
     812  134.222  -20.007   31.509
     813  131.817  -20.171   29.802
     814  137.108  -18.679   30.356
     815  137.626  -15.968   34.405
     816  137.464  -16.265   28.906
     817  141.111  -16.528   36.537
     818  143.857  -19.447   34.114
     819  136.934  -13.906   32.736
     820  133.064  -14.849   37.154
     821  133.686   -8.950   38.294
     822  131.786   -8.783   40.473
     823  127.838   -6.621   38.554
     824  129.255   -0.904   37.568
     825  128.342   -3.070   40.089
