#Frame       chi1:120     chi2:120     chi3:120
     616    -169.0144      41.9098     -86.4901
     617    -170.6062      44.7025     -87.2687
     618    -171.3356      53.7014     -76.9897
     619    -179.8150      55.4217     -74.1443
     620    -168.3122      39.5118     -86.5190
     621    -168.6639      49.1735    -100.8900
     622    -171.7464      50.9770     -78.6778
     623    -176.5959      66.1870     -75.8805
     624    -167.4326      49.8642     -90.8412
     625    -170.0113      55.1506     -87.8191
     626    -168.8456      57.7917     -90.4723
     627    -176.2676      65.0435     -92.4290
     628    -178.5035      67.6348     -64.5150
     629    -162.6631      52.3116     -71.2791
     630    -175.4333      56.7517     -88.4077
     631    -168.1451      57.5793     -62.7384
     632    -173.9011      61.0859     -77.6613
     633    -162.5984      49.3445     -89.5786
     634    -175.9227      54.0020     -75.7550
     635    -172.4975      49.2839     -94.5735
     636    -179.9303      56.6092     -88.8409
     637    -171.1810      47.2859     -87.4866
     638    -172.7230      46.0423     -95.4372
     639    -174.6080      51.9499     -91.3932
     640    -177.2200      52.7995     -77.1494
     641    -168.6174      53.2429    -129.0195
     642    -164.8151      38.0513     -85.1252
     643    -170.5557      45.2839     -82.8645
     644    -171.1259      51.8721     -91.9321
     645    -166.3275      42.3918    -102.7974
     646    -176.7737      66.8467     -99.6430
     647     176.2831      57.7221     -87.8886
     648    -174.1536      54.9806     -95.0256
     649    -168.7742      38.9360     -81.7780
     650    -173.5795      57.6059     -87.1042
     651    -172.3062      58.6584     -81.8679
     652    -166.9769      43.6683     -86.5836
     653    -164.9756      46.0446    -104.8124
     654    -165.0576      48.2404     -87.8850
     655    -165.7394      43.7382     -68.6311
     656    -172.9927      58.1059     -98.1261
     657    -154.3639      72.9072    -112.5697
     658    -160.8069      52.8217     -76.0715
     659    -174.3528      59.9990     -89.7792
     660    -163.8911      45.0225     -93.3369
     661    -167.1068      40.3703     -88.5513
     662    -176.0050      53.4965    -114.2661
     663    -166.0865      42.2870     -95.2480
     664    -178.8041      57.3014     -96.3721
     665    -172.3524      46.1309     -72.9436
     666    -168.9080      54.9472    -102.0966
     667    -163.2062      44.6644    -107.8703
     668    -175.7618      52.3943     -79.4763
     669    -178.6381      57.7573     -92.8765
     670    -166.1158      42.2992     -94.2960
     671    -170.9576      39.3071     -93.1813
     672    -160.9366      42.4128     -83.1654
     673    -168.9493      53.0148     -96.1681
     674    -166.5635      59.1521     -79.1559
     675    -165.7788      35.5326     -91.5733
     676    -167.8645      51.9979     -76.9576
     677    -176.8845      54.6168     -80.4441
     678    -175.6492      48.6024     -63.3909
     679    -178.4876      65.8055     -93.4096
     680    -170.9795      55.5493     -71.2812
     681    -168.1426      47.1560    -104.0465
     682    -171.1712      53.9933     -92.0889
     683    -159.6354      42.6407     -84.1181
     684    -167.4114      50.3467     -97.6640
     685    -167.6107      35.5395    -114.1707
     686    -153.4646      39.0021     -84.0195
     687    -156.6013      40.4893     -80.7444
     688    -170.0391      59.5651     -94.1065
     689    -161.7039      45.2019     -96.4819
